"456","22489","13463","2G1WB5EN5A1251679","4126","2010","CHEVROLET","IMPALA","LT","3.5L","Automatic","Front Wheel Drive","    1850.00","    1850.00","194189","WHITE","","0","","","0","0","","","Gasoline","      0","      0","","","Air Conditioning, Power Windows, Power Locks, Power Steering, Tilt Wheel, AM/FM CD/MP3, Satellite, AM/FM CD/DVD, Sentry Key, Keyless Entry, Alarm, Daytime Running Lights, Dual Airbags Front Head and Side, Active Seatbelts, Passenger Airbag Sensor, All Wheel ABS","https://cdn.frazerphotos.com/22489/22489_000004126_zdf5d54.jpg,https://cdn.frazerphotos.com/22489/22489_000004126_ib2axuu.jpg,https://cdn.frazerphotos.com/22489/22489_000004126_aig02xc.jpg,https://cdn.frazerphotos.com/22489/22489_000004126_q8mnsm2.jpg,https://cdn.frazerphotos.com/22489/22489_000004126_q7vnfbx.jpg,https://cdn.frazerphotos.com/22489/22489_000004126_smw6jo2.jpg,https://cdn.frazerphotos.com/22489/22489_000004126_3f9jlu8.jpg,https://cdn.frazerphotos.com/22489/22489_000004126_k07dyh5.jpg,https://cdn.frazerphotos.com/22489/22489_000004126_szq612f.jpg"
"456","22489","13463","7LZBE1625PW114888","4008","2023","DARKHORSE","TRAILER","Enclosed","","Automatic","","    8900.00","    8900.00","1000","WHITE","WHITE","0","","","0","0","","","Other","      0","      0","","","","https://cdn.frazerphotos.com/22489/22489_000004008_k0lsszn.jpg,https://cdn.frazerphotos.com/22489/22489_000004008_9ocknag.jpg,https://cdn.frazerphotos.com/22489/22489_000004008_55rlqx5.jpg,https://cdn.frazerphotos.com/22489/22489_000004008_dk5k3ib.jpg,https://cdn.frazerphotos.com/22489/22489_000004008_e1zgupj.jpg,https://cdn.frazerphotos.com/22489/22489_000004008_1hgekp0.jpg,https://cdn.frazerphotos.com/22489/22489_000004008_qywfoyw.jpg,https://cdn.frazerphotos.com/22489/22489_000004008_pc6uk2a.jpg,https://cdn.frazerphotos.com/22489/22489_000004008_k3vthb2.jpg"
"456","22489","13463","KNMAT2MV5HP520386","4095","2017","NISSAN","ROGUE","SV","2.5L","Continuously Variable","All Wheel Drive","    3300.00","    3300.00","239966","WHITE","GRAY","0","","","0","0","","","Gasoline","      0","      0","","","Air Conditioning, Power Windows, Power Locks, Power Steering, Tilt Wheel, AM/FM CD/MP3, Satellite, Immobilizer, Keyless Entry, Alarm, Daytime Running Lights, Dual Front Airbags, Side Airbags, Head Airbags, Rear Head Airbags, Active Seatbelts, Sport Utility Cab, All Wheel ABS","https://cdn.frazerphotos.com/22489/22489_4095_3762.jpg,https://cdn.frazerphotos.com/22489/22489_4095_3763.jpg,https://cdn.frazerphotos.com/22489/22489_4095_3764.jpg,https://cdn.frazerphotos.com/22489/22489_4095_3765.jpg,https://cdn.frazerphotos.com/22489/22489_4095_3766.jpg,https://cdn.frazerphotos.com/22489/22489_4095_3767.jpg,https://cdn.frazerphotos.com/22489/22489_4095_3768.jpg,https://cdn.frazerphotos.com/22489/22489_4095_3942.jpg,https://cdn.frazerphotos.com/22489/22489_4095_3943.jpg"
"456","22489","13463","WBY1Z4C56GV505741","4043","2016","BMW","I3","REX","0.7L","Continuously Variable","Rear Wheel Drive","    6500.00","    6500.00","75687","BLACK","","0","","","0","0","","","Hybrid","      0","      0","","","Air Conditioning, Power Windows, Power Locks, Power Steering, Tilt Wheel, AM/FM CD/MP3, Satellite, Immobilizer, Keyless Entry, Daytime Running Lights, Dual Front Airbags, Side Airbags, Head Airbags, Rear Head Airbags, Active Seatbelts, All Wheel ABS, Power Sun/Moon Roof","https://cdn.frazerphotos.com/22489/22489_4043_3013.jpg,https://cdn.frazerphotos.com/22489/22489_4043_3014.jpg,https://cdn.frazerphotos.com/22489/22489_4043_3015.jpg,https://cdn.frazerphotos.com/22489/22489_4043_3016.jpg,https://cdn.frazerphotos.com/22489/22489_4043_3017.jpg,https://cdn.frazerphotos.com/22489/22489_4043_3018.jpg,https://cdn.frazerphotos.com/22489/22489_4043_3019.jpg,https://cdn.frazerphotos.com/22489/22489_4043_3020.jpg,https://cdn.frazerphotos.com/22489/22489_4043_3021.jpg"
"456","22489","13463","3C6UR5GL6FG511325","4089","2015","RAM","2500","LONGHORN","6.7L","Automatic","4 Wheel Drive","   22500.00","   22500.00","544576","BLACK","BLACK","0","PLEASE READ BEFORE YOU CALL OR COME IN!!! We only accept CASH payment. If there is no description here, check www.highlifeauto for updates.    Link to Video:    Good to Go:    Take a Look at:","","0","0","","","Diesel","      0","      0","","","Air Conditioning, Power Windows, Power Locks, Power Steering, Tilt Wheel, AM/FM CD/DVD, Satellite, Sentry Key, Keyless Entry, Alarm, Available, Dual Air Bags Front and Sides, Active Belts, Crew Cab, Regular Bed, All Wheel ABS, Power Sun/Moon Roof, 3/4 Ton","https://cdn.frazerphotos.com/22489/22489_000004089_pdsd3t6.jpg,https://cdn.frazerphotos.com/22489/22489_000004089_wpa5y1h.jpg,https://cdn.frazerphotos.com/22489/22489_000004089_7v1md5m.jpg,https://cdn.frazerphotos.com/22489/22489_000004089_z6jpr6l.jpg,https://cdn.frazerphotos.com/22489/22489_000004089_nkjlmam.jpg,https://cdn.frazerphotos.com/22489/22489_000004089_jevtzc2.jpg,https://cdn.frazerphotos.com/22489/22489_000004089_qtb7ea1.jpg,https://cdn.frazerphotos.com/22489/22489_000004089_zi8p3f6.jpg,https://cdn.frazerphotos.com/22489/22489_000004089_d33604e.jpg"
"456","22489","13463","JN8AF5MR4ET353862","4099","2014","NISSAN","JUKE","S","1.6L","Continuously Variable","Front Wheel Drive","    3500.00","    3500.00","172406","BLACK","","0","","","0","0","","","Gasoline","      0","      0","","","Air Conditioning, Power Windows, Power Locks, Power Steering, Tilt Wheel, AM/FM CD/MP3, Satellite, Immobilizer, Keyless Entry, Alarm, Dual Air Bags Front Head and Sides, Active Belts, All Wheel ABS","https://cdn.frazerphotos.com/22489/22489_000004099_wrw2iou.jpg,https://cdn.frazerphotos.com/22489/22489_000004099_bbatlaw.jpg,https://cdn.frazerphotos.com/22489/22489_000004099_8zhezrb.jpg,https://cdn.frazerphotos.com/22489/22489_000004099_1dvd4zv.jpg,https://cdn.frazerphotos.com/22489/22489_000004099_ao3jis6.jpg,https://cdn.frazerphotos.com/22489/22489_000004099_tdqea38.jpg,https://cdn.frazerphotos.com/22489/22489_000004099_zvc7v9n.jpg,https://cdn.frazerphotos.com/22489/22489_000004099_fa3mzed.jpg,https://cdn.frazerphotos.com/22489/22489_000004099_d23jtzz.jpg"
"456","22489","13463","1J4BA3H18BL539269","3570","2011","JEEP","WRANGLER UNLIMI","SPORT","3.8L","Automatic","4 Wheel Drive","   20000.00","   20000.00","113712","BLACK","BLACK","0","","","0","0","","","Gasoline","      0","      0","","","Air Conditioning, Available, Power Steering, Tilt Wheel, AM/FM CD/MP3, Satellite, AM/FM CD/DVD, Passive sentry key, Dual Front Airbags, Passenger Sensor, Active Belts, All Wheel ABS, Retractable Roof Panel","https://cdn.frazerphotos.com/22489/22489_3570_3661.jpg,https://cdn.frazerphotos.com/22489/22489_3570_3662.jpg,https://cdn.frazerphotos.com/22489/22489_3570_3663.jpg,https://cdn.frazerphotos.com/22489/22489_3570_3664.jpg,https://cdn.frazerphotos.com/22489/22489_3570_3665.jpg,https://cdn.frazerphotos.com/22489/22489_3570_3666.jpg,https://cdn.frazerphotos.com/22489/22489_3570_3667.jpg,https://cdn.frazerphotos.com/22489/22489_3570_3668.jpg,https://cdn.frazerphotos.com/22489/22489_3570_3669.jpg"
"456","22489","13463","SMK85788E191","3917","1991","SMOKER CRAFT","SUNCHASER","DECK BOAT","150","Automatic","","    4500.00","    4500.00","1000","WHITE","WHITE","0"," this is an awesome boat! tri-haul fiberglass bottom deck boat with a mercury 150hp outboaed fuel injected. easy to work on engine and very solid boat!","","0","0","","","Gasoline","      0","      0","","","","https://cdn.frazerphotos.com/22489/22489_000003917_c3v4jjp.jpg,https://cdn.frazerphotos.com/22489/22489_000003917_q7987xq.jpg,https://cdn.frazerphotos.com/22489/22489_000003917_kaerml5.jpg,https://cdn.frazerphotos.com/22489/22489_000003917_9djd1hi.jpg,https://cdn.frazerphotos.com/22489/22489_000003917_6ow0n8r.jpg,https://cdn.frazerphotos.com/22489/22489_000003917_wlurtiy.jpg,https://cdn.frazerphotos.com/22489/22489_000003917_8fa885c.jpg,https://cdn.frazerphotos.com/22489/22489_000003917_ufguec1.jpg,https://cdn.frazerphotos.com/22489/22489_000003917_dy0twib.jpg"
"456","22489","13463","3D7MU48C64G122042","1725","2004","DODGE","RAM 3500","ST","5.9L","Automatic","4 Wheel Drive","    6000.00","    6000.00","337402","WHITE","","0","","","0","0","","","Diesel","      0","      0","","","Air Conditioning, Power Windows, Power Locks, Power Steering, Tilt Wheel, AM/FM Cassette, AM/FM CD, Dual Front Air Bag, Active Belts, Crew Cab, Regular Bed, All Wheel ABS, 1 Ton","https://cdn.frazerphotos.com/22489/22489_000001725_xxllvjx.jpg,https://cdn.frazerphotos.com/22489/22489_000001725_jbh175l.jpg,https://cdn.frazerphotos.com/22489/22489_000001725_xdvvfs4.jpg,https://cdn.frazerphotos.com/22489/22489_000001725_zi3m3zw.jpg,https://cdn.frazerphotos.com/22489/22489_000001725_wda1oi9.jpg,https://cdn.frazerphotos.com/22489/22489_000001725_gpxkhj4.jpg,https://cdn.frazerphotos.com/22489/22489_000001725_nwzlhjo.jpg,https://cdn.frazerphotos.com/22489/22489_000001725_m6b0pjb.jpg,https://cdn.frazerphotos.com/22489/22489_000001725_gud5kdc.jpg"
"456","22489","13463","1C4NJCBA0GD751810","4227","2016","JEEP","COMPASS","SPORT","2.0L","Continuously Variable","Front Wheel Drive","    3750.00","    3750.00","190835","BLACK","BLACK","0","","","0","0","","","Gasoline","      0","      0","","","Air Conditioning, Power Windows, Power Locks, Power Steering, Tilt Wheel, AM/FM CD/MP3, Satellite, Immobilizer, Keyless Entry, Available, Dual Airbags Front Head and Side, Active Seatbelts, Passenger Airbag Sensor, Dual Rear Side Airbag, All Wheel ABS","https://cdn.frazerphotos.com/22489/22489_000004227_569c0mv.jpg,https://cdn.frazerphotos.com/22489/22489_000004227_sly7k83.jpg,https://cdn.frazerphotos.com/22489/22489_000004227_4trw442.jpg,https://cdn.frazerphotos.com/22489/22489_000004227_rpxziw6.jpg,https://cdn.frazerphotos.com/22489/22489_000004227_r4cpvhd.jpg,https://cdn.frazerphotos.com/22489/22489_000004227_y5dxn07.jpg,https://cdn.frazerphotos.com/22489/22489_000004227_bnmnqp7.jpg,https://cdn.frazerphotos.com/22489/22489_000004227_uy1szbd.jpg,https://cdn.frazerphotos.com/22489/22489_000004227_famxti4.jpg"
